id,title,card_type,trait,mp,effect,strength,intelligence,special,,image_url
C21-JL,Disgraced,Event,,-5,"KO target Character with a ""constant"" effect, or draw 2 cards if there are no Characters with a ""constant"" effect in play.",,,,,http://metaxdb.com/images/C21-JL.jpg
C22-JL,Echolocation,Event,,-4,Look at your opponent's hand and choose a card. Your opponent discards that card.,,,,,http://metaxdb.com/images/C22-JL.jpg
C23-JL,Rise from the Ashes,Event,,-3,Search your discard pile for a Character and place it in your hand.,,,,,http://metaxdb.com/images/C23-JL.jpg
C24-JL,Injustice,Event,,-1,Characters lose all effects until the end of your next turn. Draw a card.,,,,,http://metaxdb.com/images/C24-JL.jpg
C25-JL,Battle Frenzy,Event,,-4,"At the end of your turn, draw a card for each Battle Card played this turn.",,,,,http://metaxdb.com/images/C25-JL.jpg
C26-JL,Lose the Battle to Win the War,Event,,-2,"Return an attached Battle Card to its owner's hand, then shuffle this card into its owner's deck.",,,,,http://metaxdb.com/images/C26-JL.jpg
C27-JL,Overboard,Event,,-2,Discard a Character from your hand with a maximum rank of 5 or less to draw 2 cards.,,,,,http://metaxdb.com/images/C27-JL.jpg
C28-JL,Combat Mastery,Event,,-1,"Until the end of your next turn, your Characters may use any Battle Cards. Draw a card.",,,,,http://metaxdb.com/images/C28-JL.jpg
C29-JL,Resurrection of Power,Event,,0,"KO any number of Characters you control, then draw a card for each Character KO'd this way.",,,,,http://metaxdb.com/images/C29-JL.jpg
C30-JL,Reinforcements,Event,,-2,"Shuffle 2 Battle Cards from your discard pile into your deck, then draw a card.",,,,,http://metaxdb.com/images/C30-JL.jpg
C31-JL,Strength 1,Battle,,2,"Draw a card, then discard a card from your hand.",1,,,,http://metaxdb.com/images/C31-JL.jpg
C32-JL,Intelligence 1,Battle,,2,ATTACK: This attack can only be defended by Characters with an Intelligence Stat.,,1,,,http://metaxdb.com/images/C32-JL.jpg
C33-JL,Special 1,Battle,,0,Draw a card.,,,1,,http://metaxdb.com/images/C33-JL.jpg
C34-JL,Special 1,Battle,,2,"DEFEND: Until the end of the turn, Battle Cards cannot be attached to the Character using this card.",,,1,,http://metaxdb.com/images/C34-JL.jpg
C35-JL,Strength 2,Battle,,2,"If this card is used by a Hero Character, you may discard an attached Battle Card.",2,,,,http://metaxdb.com/images/C35-JL.jpg
C36-JL,Strength 2,Battle,,2,"DEFEND: If this card KO's a Character, gain 2 MP.",2,,,,http://metaxdb.com/images/C36-JL.jpg
C37-JL,Strength 2,Battle,,3,Each player draws a card.,2,,,,http://metaxdb.com/images/C37-JL.jpg
C38-JL,Intelligence 2,Battle,,1,"Draw 2 cards, then place a card from your hand to the bottom of your deck.",,2,,,http://metaxdb.com/images/C38-JL.jpg
C39-JL,Special 2,Battle,,1,Negate the effects of target Character until the end of your next turn.,,,2,,http://metaxdb.com/images/C39-JL.jpg
C40-JL,Strength 3,Battle,,0,"Discard the top 2 cards of your deck, then draw a card.",3,,,,http://metaxdb.com/images/C40-JL.jpg
C41-JL,Special 7,Battle,,0,"If you control ""Batman"", ""Superman"" and ""Wonder Woman"", draw 3 cards.",,,7,,http://metaxdb.com/images/C41-JL.jpg
C42-JL,Intelligence 3,Battle,,2,Shuffle a Character from your discard pile into your deck.,,3,,,http://metaxdb.com/images/C42-JL.jpg
C43-JL,Intelligence 3,Battle,,-2,Search your discard pile for a Battle Card with a maximum rank of 2 or less and place it into your hand.,,3,,,http://metaxdb.com/images/C43-JL.jpg
C44-JL,Special 3,Battle,,-2,Search your discard pile for a Battle Card with a rank or 6 or 7 and place it in your hand.,,,3,,http://metaxdb.com/images/C44-JL.jpg
C45-JL,Strength 4,Battle,,0,"ATTACK: If the Character using this card has a maximum rank or 5 or less, draw a card.",4,,,,http://metaxdb.com/images/C45-JL.jpg
C46-JL,Intelligence 4,Battle,,0,Search your deck for a Battle Card with a rank of 5 and place it into your hand.,,4,,,http://metaxdb.com/images/C46-JL.jpg
C47-JL,Special 4,Battle,,4,This card cannot be used by a Character with a rank of 6 or higher.,,,4,,http://metaxdb.com/images/C47-JL.jpg
C48-JL,Special 4,Battle,,2,Each player discards a card from their hand.,,,4,,http://metaxdb.com/images/C48-JL.jpg
C49-JL,Special 4,Battle,,0,Your Characters that entered play this turn may attack.,,,4,,http://metaxdb.com/images/C49-JL.jpg
C50-JL,Strength 5,Battle,,1,ATTACK: This attack can only be defended by a Character with a maximum rank of 5 or less.,5,,,,http://metaxdb.com/images/C50-JL.jpg
C51-JL,Intelligence 5,Battle,,0,ATTACK: Shuffle a Battle Card from your discard pile into your deck.,,5,,,http://metaxdb.com/images/C51-JL.jpg
C52-JL,Intelligence 5,Battle,,0,"Look at the top 2 cards of your opponent's deck, then place them on the top of their deck in any order.",,5,,,http://metaxdb.com/images/C52-JL.jpg
C53-JL,Special 5,Battle,,-1,"If you have less MP than your opponent, gain 3 MP.",,,5,,http://metaxdb.com/images/C53-JL.jpg
C54-JL,Strength 6,Battle,,0,The next Battle Card you play this turn has its MP cost reduced by -2.,6,,,,http://metaxdb.com/images/C54-JL.jpg
C55-JL,Intelligence 6,Battle,,-1,Look at your opponent's hand.,,6,,,http://metaxdb.com/images/C55-JL.jpg
C56-JL,Special 6,Battle,,-2,DEFEND: Draw a card for each Character with a rank of 7 in the Battle Zone.,,,6,,http://metaxdb.com/images/C56-JL.jpg
C57-JL,Strength 7,Battle,,-2,The next Battle Card you play this turn has its MP cost reduced to 0.,7,,,,http://metaxdb.com/images/C57-JL.jpg
C58-JL,Intelligence 7,Battle,,-1,"Look at the top 3 cards of your deck, then place them on the top or bottom of your deck in any order.",,7,,,http://metaxdb.com/images/C58-JL.jpg
C59-JL,Strength 3,Battle,,-2,Target Character cannot defend this turn.,3,,,,http://metaxdb.com/images/C59-JL.jpg
C60-JL,Special 7,Battle,,0,ATTACK: Discard the top 2 cards of each player's deck.,,,7,,http://metaxdb.com/images/C60-JL.jpg
U61-JL,Batgirl - Barbara Gordon,Character,Hero,3,CONSTANT: This card may Link to a Team Attack for 0 MP.,4,5,,,http://metaxdb.com/images/U61-JL.jpg
U62-JL,Batman - Dark Knight,Character,Hero,3,PLAY: Push target Character.,2,7,6,,http://metaxdb.com/images/U62-JL.jpg
U63-JL,Blue Beetle - Ted Kord,Character,Hero,4,PLAY: You may play another Character with a maximum rank of 5 or less.,3,5,,,http://metaxdb.com/images/U63-JL.jpg
U64-JL,Vixen - Mari McCabe,Character,Hero,2,"CONSTANT: Whenever you discard 1 or more cards from your hand, draw a card.",3,,5,,http://metaxdb.com/images/U64-JL.jpg
U65-JL,Cyborg - Victor Stone,Character,Hero,3,"PLAY: Draw 2 cards, then discard 2 cards from your hand.",4,,5,,http://metaxdb.com/images/U65-JL.jpg
U66-JL,Green Arrow - Emerald Archer,Character,Hero,2,PUSH: Attach a Battle Card with a maximum rank of 5 or less from your hand to target Character.,2,3,5,,http://metaxdb.com/images/U66-JL.jpg
U67-JL,Green Lantern - Hal Jordan,Character,Hero,2,PUSH: Draw a card.,,3,6,,http://metaxdb.com/images/U67-JL.jpg
U68-JL,Nightwing - Dick Grayson,Character,Hero,3,"CONSTANT: Whenever this card leads a Team Attack, gain 1 VP.",,4,6,,http://metaxdb.com/images/U68-JL.jpg
U69-JL,Krypto - The Super Dog,Character,Hero,2,"CONSTANT: At the end of each player's turn, that player draws a card.",,,5,,http://metaxdb.com/images/U69-JL.jpg
U70-JL,Robin - Boy Wonder,Character,Hero,2,PLAY: Draw cards until you have the same amount in your hand as your opponent.,3,,5,,http://metaxdb.com/images/U70-JL.jpg
U71-JL,Supergirl - Kara Zor-El,Character,Hero,0,PLAY: Each player reveals their hand and discards all Events revealed.,6,3,,,http://metaxdb.com/images/U71-JL.jpg
U72-JL,Superman - Man of Steel,Character,Hero,2,PLAY: Draw a card.,7,3,5,,http://metaxdb.com/images/U72-JL.jpg
U73-JL,Brainiac - Collector of Worlds,Character,Villain,1,PUSH: KO a different Character you control to gain 4 MP.,1,7,,,http://metaxdb.com/images/U73-JL.jpg
U74-JL,Harley Quinn - Former Psychiatrist,Character,Villain,3,"CONSTANT: When this card is KO'd by Damage during the Battle Step, gain 1 VP.",2,4,5,,http://metaxdb.com/images/U74-JL.jpg
U75-JL,Sinestro - Intergalactic Criminal,Character,Villain,1,"PLAY: The next time your opponent would draw 1 card, skip it.",3,,6,,http://metaxdb.com/images/U75-JL.jpg
U76-JL,Solomon Grundy - Cyrus Gold,Character,Villain,1,CONSTANT: This card can only be KO'd by 8 points of Damage.,6,,,,http://metaxdb.com/images/U76-JL.jpg
U77-JL,Victorious,Event,,-9,Gain control of target Character.,,,,,http://metaxdb.com/images/U77-JL.jpg
U78-JL,Unexpected Turnaround,Event,,-8,Return all Characters to their owner's hands.,,,,,http://metaxdb.com/images/U78-JL.jpg
U79-JL,Transfer of Power,Event,,-3,"Use the ""when played"" effect of target Hero Character, then draw a card.",,,,,http://metaxdb.com/images/U79-JL.jpg
U80-JL,Don't Go It Alone,Event,,0,You may Link a Character this turn for 0 MP.,,,,,http://metaxdb.com/images/U80-JL.jpg
U81-JL,Point Blank,Event,,-4,"Draw 3 cards, then discard 2 cards from your hand unless you discard a Character with a rank of 7.",,,,,http://metaxdb.com/images/U81-JL.jpg
U82-JL,Joke's On You,Event,,-1,"Place 2 Battle Cards from your discard pile into your hand, then discard a random card from your hand.",,,,,http://metaxdb.com/images/U82-JL.jpg
U83-JL,Passion for the Hunt,Event,,-2,Search your deck for a Battle Card and place it in your hand.,,,,,http://metaxdb.com/images/U83-JL.jpg
U84-JL,Power Corrupts,Event,,-3,Attacks from target Character cannot be defended this turn.,,,,,http://metaxdb.com/images/U84-JL.jpg
U85-JL,Push and Pull,Event,,-4,"If you control at least two Characters with a maximum rank of 5 or less, draw 3 cards.",,,,,http://metaxdb.com/images/U85-JL.jpg
U86-JL,Rebirth,Event,,-1,Shuffle 3 non-Event cards from your discard pile into your deck.,,,,,http://metaxdb.com/images/U86-JL.jpg
U87-JL,Upper Hand,Event,,-4,Draw 2 cards.,,,,,http://metaxdb.com/images/U87-JL.jpg
U88-JL,Sleight of Hand,Event,,0,"Look at your opponent's VP pile and choose a card, then swap this card facedown with the chosen card.",,,,,http://metaxdb.com/images/U88-JL.jpg
U89-JL,Paralysis,Event,,-4,Characters cannoy attack until the end of your next turn.,,,,,http://metaxdb.com/images/U89-JL.jpg
U90-JL,Strength in Numbers,Event,,-1,"If you perform a Team Attack this turn, draw 2 cards.",,,,,http://metaxdb.com/images/U90-JL.jpg
U91-JL,Meta Superiority,Event,,-2,Attach a Battle Card from your hand to target Character.,,,,,http://metaxdb.com/images/U91-JL.jpg
U92-JL,Strength/Intelligence/Special 1,Battle,,0,"ATTACK: If you gain a VP from this attack, you may pay -1 MP to return this card to its owner's hand.",1,1,1,,http://metaxdb.com/images/U92-JL.jpg
U93-JL,Intelligence 4,Battle,,-1,"DEFEND: If this card is used by a Villain Character, place a Character from a discard pile on top of its owner's deck.",,4,,,http://metaxdb.com/images/U93-JL.jpg
U94-JL,Strength/Intelligence/Special 4,Battle,,2,,4,4,4,,http://metaxdb.com/images/U94-JL.jpg
U95-JL,Strength/Intelligence/Special 5,Battle,,-2,"If this card is used in a Team Attack, draw 2 cards.",5,5,5,,http://metaxdb.com/images/U95-JL.jpg
U96-JL,Intelligence 6,Battle,,-3,DEFEND: Target an attacking Character. KO that Character at the end of the turn.,,6,,,http://metaxdb.com/images/U96-JL.jpg
U97-JL,Special 6,Battle,,-2,Draw a card.,,,6,,http://metaxdb.com/images/U97-JL.jpg
U98-JL,Strength 7,Battle,,-1,DEFEND: Discard the top 3 cards of your deck to push up to 2 target Characters.,7,,,,http://metaxdb.com/images/U98-JL.jpg
U99-JL,Intelligence 7,Battle,,-2,ATTACK: This attack cannot be defended.,,7,,,http://metaxdb.com/images/U99-JL.jpg
U100-JL,Special 7,Battle,,-1,DEFEND: Discard all Battle Cards attached to the Character using this card.,,,7,,http://metaxdb.com/images/U100-JL.jpg
R101-JL,Aquaman - Arthur Curry,Character,Hero,3,CONSTANT: This card cannot be targeted.,6,,5,,http://metaxdb.com/images/R101-JL.jpg
R102-JL,Atom - Ray Palmer,Character,Hero,4,"CONSTANT: At the end of your turn, return target Character with a rank of 7 to its owner's hand.",1,,1,,http://metaxdb.com/images/R102-JL.jpg
R103-JL,Doctor Fate - Agent of the Lords of Order,Character,Hero,0,PLAY: You may KO this card to place a random card from your opponent's VP pile into your hand.,1,,7,,http://metaxdb.com/images/R103-JL.jpg
R104-JL,John Constantine - Occult Detective,Character,Hero,2,"CONSTANT: Negate all ""when played"" effects.",,5,6,,http://metaxdb.com/images/R104-JL.jpg
R105-JL,Shazam - Captain Marvel,Character,Hero,3,PUSH: Return this card to its owner's hand.,7,,5,,http://metaxdb.com/images/R105-JL.jpg
R106-JL,The Flash - Scarlet Speedster,Character,Hero,1,PLAY: This card may attack on the turn it enters play.,2,,6,,http://metaxdb.com/images/R106-JL.jpg
R107-JL,Wonder Woman - Amazon Princess,Character,Hero,2,PUSH: Discard a card from your hand to KO target Character with a rank of 7.,6,4,6,,http://metaxdb.com/images/R107-JL.jpg
R108-JL,Zatanna - Magician,Character,Hero,1,"CONSTANT: At the beginning of your turn, shuffle this card into its owner's deck to shuffle target Character into its owner's deck.",2,,6,,http://metaxdb.com/images/R108-JL.jpg
R109-JL,Bizarro - Imperfect Duplicate,Character,Villain,0,PLAY: Gain the effects of target Character (until Bizzarro leaves play).,,5,5,,http://metaxdb.com/images/R109-JL.jpg
R110-JL,Black Adam - Teth-Adam,Character,Villain,5,PLAY: Discard a card from your hand.,7,,6,,http://metaxdb.com/images/R110-JL.jpg
R111-JL,Darkseid - Uxas,Character,Villain,1,"CONSTANT: The first time each turn one of your Characters with a maximum rank of 5 pushes to attack, draw a card.",,5,6,,http://metaxdb.com/images/R111-JL.jpg
R112-JL,Deathstroke - Slade Wilson,Character,Villain,1,PLAY: KO target pushed Character.,4,4,6,,http://metaxdb.com/images/R112-JL.jpg
R113-JL,Doomsday - Destroyer,Character,Villain,2,CONSTANT: Negate the effects of Battle Cards.,7,1,,,http://metaxdb.com/images/R113-JL.jpg
R114-JL,Lex Luther - CEO of Lexcorp,Character,Villain,2,PLAY: KO target Character with a rank of 7.,,7,5,,http://metaxdb.com/images/R114-JL.jpg
R115-JL,The Joker - Clown Prince of Crime,Character,Villain,2,"PLAY: Each player shuffles their hand into their deck, then draws the same amount of cards back.",,6,6,,http://metaxdb.com/images/R115-JL.jpg
R116-JL,Against the Current,Event,,0,"Look at your opponent's hand. If you control a Character with a maximum rank of 5 or less, draw a card.",,,,,http://metaxdb.com/images/R116-JL.jpg
R117-JL,Come and Take It,Event,,-3,Play a Character or Event from your opponent's discard pile as though it were in your hand.,,,,,http://metaxdb.com/images/R117-JL.jpg
R118-JL,Evil Parade,Event,,-7,KO all Characters.,,,,,http://metaxdb.com/images/R118-JL.jpg
R119-JL,Knockout,Event,,-5,KO a Character you control to KO target Character.,,,,,http://metaxdb.com/images/R119-JL.jpg
R120-JL,Microscopic Victory,Event,,-9,Gain 1 VP.,,,,,http://metaxdb.com/images/R120-JL.jpg
R121-JL,Showdown,Event,,-6,"Each player chooses a Character under their control, then all other Characters are KO'd.",,,,,http://metaxdb.com/images/R121-JL.jpg
R122-JL,Right on Target,Event,,-6,Return target Character to its owner's hand.,,,,,http://metaxdb.com/images/R122-JL.jpg
R123-JL,Ingenuity,Event,,-5,"Discard your hand, then draw 5 cards.",,,,,http://metaxdb.com/images/R123-JL.jpg
R124-JL,Teleportation,Event,,-5,Return a Character you control to your hand to return target Character to its owner's hand.,,,,,http://metaxdb.com/images/R124-JL.jpg
R125-JL,With Friends Like These,Event,,-4,KO all Characters with Damage attached and shuffle those attached Battle Cards into their owner's decks.,,,,,http://metaxdb.com/images/R125-JL.jpg
R126-JL,Inherent Weakness,Event,,-5,Attach a Battle Card from your discard pile to target Character.,,,,,http://metaxdb.com/images/R126-JL.jpg
R127-JL,Intelligence 1,Battle,,-1,"Draw 3 cards, then place 2 cards from your hand on top of your deck.",,1,,,http://metaxdb.com/images/R127-JL.jpg
R128-JL,Special 2,Battle,,0,"ATTACK: If you have played another Battle Card with a maximum rank of 5 or less this turn, draw 2 cards.",,,2,,http://metaxdb.com/images/R128-JL.jpg
R129-JL,Intelligence 3,Battle,,3,DEFEND: Push target Character.,,3,,,http://metaxdb.com/images/R129-JL.jpg
R130-JL,Special 3,Battle,,1,"ATTACK: If this attack is defended, return this card to its owner's hand and you may attach a different Battle Card from your hand to the defender.",,,3,,http://metaxdb.com/images/R130-JL.jpg
R131-JL,Strength 4,Battle,,2,"Draw 2 cards, the discard 2 cards from your hand.",4,,,,http://metaxdb.com/images/R131-JL.jpg
R132-JL,Strength 5,Battle,,0,"DEFEND: At the end of the turn, KO any Characters that Team Attacked this turn.",5,,,,http://metaxdb.com/images/R132-JL.jpg
R133-JL,Strength/Intelligence 5,Battle,,-1,The next Battle Card you play this turn has its MP cost reduced by -1.,5,5,,,http://metaxdb.com/images/R133-JL.jpg
R134-JL,Strength/Special 5,Battle,,-2,You may discard a Battle Card from your hand to draw 2 cards.,5,,5,,http://metaxdb.com/images/R134-JL.jpg
R135-JL,Intelligence/Special 5,Battle,,-1,Place an attached Battle Card on top of its owner's deck.,,5,5,,http://metaxdb.com/images/R135-JL.jpg
R136-JL,Strength 6,Battle,,-1,ATTACK: Push target Character.,6,,,,http://metaxdb.com/images/R136-JL.jpg
R137-JL,Strength 7,Battle,,-2,ATTACK: Your opponent discards a card from their hand.,7,,,,http://metaxdb.com/images/R137-JL.jpg
R138-JL,Intelligence 7,Battle,,-2,DEFEND: Your opponent loses 5 MP.,,7,,,http://metaxdb.com/images/R138-JL.jpg
R139-JL,Special 7,Battle,,-3,"ATTACK: If this attack gains a VP, gain an additional VP.",,,7,,http://metaxdb.com/images/R139-JL.jpg
R140-JL,Strength/Intelligence/Special 7,Battle,,3,Your opponent gains a VP.,7,7,7,,http://metaxdb.com/images/R140-JL.jpg
XR141-JL,Wonder Woman - Princess Diana of Themyscira,Character,Hero,2,"CONSTANT: Whenever a Character's ""push"" effect is activated, negate that effect, KO that Character, and KO this card.",5,,7,,http://metaxdb.com/images/XR141-JL.jpg
XR142-JL,Darkseid - Ruler of Apokolips,Character,Villain,0,PLAY: Your opponent discards a random card from their hand.,7,5,,,http://metaxdb.com/images/XR142-JL.jpg
XR143-JL,Harley Quinn - Dr. Harleen Quinzel,Character,Villain,1,PUSH: KO this card to gain 1 VP.,2,,6,,http://metaxdb.com/images/XR143-JL.jpg
XR144-JL,The Joker - Certifiably Insane,Character,Villain,3,"PLAY: Search your deck for a ""Harley Quinn"" and place it in your hand.",2,7,4,,http://metaxdb.com/images/XR144-JL.jpg
UR145-JL,Batman - The Caped Crusader,Character,Hero,2,"PLAY: Look at the top 3 cards of a player's deck, then discard 1 of them and return the other 2 in any order.",,7,7,,http://metaxdb.com/images/UR145-JL.jpg
UR146-JL,Superman - Last Son of Krypton,Character,Hero,3,CONSTANT: Attacking does not cause this card to push.,7,,7,,http://metaxdb.com/images/UR146-JL.jpg
P1-JL,Strength/Intelligence/Special 1,Battle,,0,"ATTACK: If you gain a VP from this attack, you may pay -1 MP to return this card to its owner's hand.",1,1,1,,http://metaxdb.com/images/P1-JL.jpg
P2-JL,Victorious,Event,,-9,Gain control of target Character.,,,,,http://metaxdb.com/images/P2-JL.jpg
P3-JL,Strength/Intelligence/Special 4,Battle,,2,,4,4,4,,http://metaxdb.com/images/P3-JL.jpg
P4-JL,Unexpected Turnaround,Event,,-8,Return all Characters to their owner's hands.,,,,,http://metaxdb.com/images/P4-JL.jpg
P5-JL,Batman - Dark Knight,Character,Hero,3,PLAY: Push target Character.,2,7,6,,http://metaxdb.com/images/P5-JL.jpg
P6-JL,Superman - Man of Steel,Character,Hero,2,PLAY: Draw a card.,7,3,5,,http://metaxdb.com/images/P6-JL.jpg
P7-JL,Green Lantern - Hal Jordan,Character,Hero,2,PUSH: Draw a card.,,3,6,,http://metaxdb.com/images/P7-JL.jpg
P8-JL,Harley Quinn - Former Psychiatrist,Character,Villain,3,"CONSTANT: When this card is KO'd by Damage during the Battle Step, gain 1 VP",2,4,5,,http://metaxdb.com/images/P8-JL.jpg
P9-JL,Aquaman - Arthur Curry,Character,Hero,3,CONSTANT: This card cannot be targeted.,6,,5,,http://metaxdb.com/images/P9-JL.jpg
P10-JL,The Joker - Clown Prince of Crime,Character,Villain,2,"PLAY: Each player shuffles their hand into their deck, then draws the same amount of cards back.",,6,6,,http://metaxdb.com/images/P10-JL.jpg
P11-JL,Wonder Woman - Amazon Princess,Character,Hero,2,PUSH: Discard a card from your hand to KO target Character with a rank of 7.,6,4,6,,http://metaxdb.com/images/P11-JL.jpg
P12-JL,Lex Luther - CEO of Lexcorp,Character,Villain,2,PLAY: KO target Character with a rank of 7.,,7,5,,http://metaxdb.com/images/P12-JL.jpg
P13-JL,Shazam - Captain Marvel,Character,Hero,3,PUSH: Return this card to its owner's hand.,7,,5,,http://metaxdb.com/images/P13-JL.jpg
P14-JL,Darkseid - Uxas,Character,Villain,1,"CONSTANT: The first time each turn one of your Characters with a maximum rank of 5 pushes to attack, draw a card.",,5,6,,http://metaxdb.com/images/P14-JL.jpg
P15-JL,The Flash - Scarlet Speedster,Character,Hero,1,PLAY: This card may attack on the turn it enters play.,2,,6,,http://metaxdb.com/images/P15-JL.jpg
P16-JL,Doomsday - Destroyer,Character,Villain,2,CONSTANT: Negate the effects of Battle Cards.,7,1,,,http://metaxdb.com/images/P16-JL.jpg
P17-JL,Paralysis,Event,,-4,Characters cannot attack until the end of your next turn.,,,,,http://metaxdb.com/images/P17-JL.jpg
P18-JL,Strength/Intelligence/Special 5,Battle,,-2,"If this card is used in a Team Attack, draw 2 cards.",5,5,5,,http://metaxdb.com/images/P18-JL.jpg
P19-JL,Battle Frenzy,Event,,-4,"At the end of your turn, draw a card for each Battle Card played this turn.",,,,,http://metaxdb.com/images/P19-JL.jpg
P20-JL,Disgraced,Event,,-5,"KO target Character with a ""constant"" effect, or draw 2 cards if there are no Characters with a ""constant"" effect in play.",,,,,http://metaxdb.com/images/P20-JL.jpg
S1-JL,Harley Quinn - Former Psychiatrist,Character,Villain,3,"CONSTANT: When this card is KO'd by damage during the Battle Step, gain 1 VP.",2,4,5,,http://metaxdb.com/images/S1-JL.jpg
S2-JL,Brainiac - Collector of Worlds,Character,Villain,1,PUSH: KO a different Character you control to gain 4 MP.,1,7,,,http://metaxdb.com/images/S2-JL.jpg
S3-JL,Sinestro - Intergalactic Criminal,Character,Villain,1,"PLAY: The next time your opponent would draw 1 card, skip it.",3,,6,,http://metaxdb.com/images/S3-JL.jpg
S4-JL,Solomon Grundy - Cyrus Gold,Character,Villain,1,CONSTANT: This card can only be KO'd by 8 points of Damage.,6,,,,http://metaxdb.com/images/S4-JL.jpg
S5-JL,Joke's On You,Event,,-1,"Place 2 Battle Cards from your discard pile into your hand, then discard a random card from your hand.",,,,,http://metaxdb.com/images/S5-JL.jpg
S6-JL,Push and Pull,Event,,-4,"If you control at least two Characters with a maximum rank of 5 or less, draw 3 cards.",,,,,http://metaxdb.com/images/S6-JL.jpg
S7-JL,Transfer of Power,Event,,-3,"Use the ""when played"" effect of target Hero Character, then draw a card.",,,,,http://metaxdb.com/images/S7-JL.jpg
S8-JL,Strength 6,Battle,,-2,,6,,,,http://metaxdb.com/images/S8-JL.jpg
S9-JL,Strength 3,Battle,,1,,3,,,,http://metaxdb.com/images/S9-JL.jpg
S10-JL,Strength 2,Battle,,2,,2,,,,http://metaxdb.com/images/S10-JL.jpg
S11-JL,Strength 1,Battle,,3,,1,,,,http://metaxdb.com/images/S11-JL.jpg
S12-JL,Intelligence 7,Battle,,-3,,,7,,,http://metaxdb.com/images/S12-JL.jpg
S13-JL,Intelligence 4,Battle,,0,,,4,,,http://metaxdb.com/images/S13-JL.jpg
S14-JL,Intelligence 2,Battle,,2,,,2,,,http://metaxdb.com/images/S14-JL.jpg
S15-JL,Intelligence 1,Battle,,3,,,1,,,http://metaxdb.com/images/S15-JL.jpg
S16-JL,Special 6,Battle,,-2,,,,6,,http://metaxdb.com/images/S16-JL.jpg
S17-JL,Special 5,Battle,,-1,,,,5,,http://metaxdb.com/images/S17-JL.jpg
